,Classifier,Accuracy Train,Accuracy Dev,Accuracy Test,Weighted F1 Train,Weighted F1 Dev,Weighted F1 Test,Macro F1 Train,Macro F1 Dev,Macro F1 Test,Micro F1 Train,Micro F1 Dev,Micro F1 Test,Weighted Recall Train,Weighted Recall Dev,Weighted Recall Test,Macro Recall Train,Macro Recall Dev,Macro Recall Test,Micro Recall Train,Micro Recall Dev,Micro Recall Test
0,Nearest_Centroid,0.4797030137949213,0.4899753781217024,0.476458186929023,0.58324706649406,0.587636651838157,0.578347878638288,0.2873411759497155,0.298099463266436,0.2879356445414067,0.4797030137949213,0.4899753781217024,0.476458186929023,0.4797030137949213,0.4899753781217024,0.476458186929023,0.56366796449903,0.732966211007563,0.513001842567596,0.4797030137949213,0.4899753781217024,0.476458186929023
1,Nearest_Centroid,0.624066426500307,0.621526556454449,0.628952916373858,0.707448690212133,0.701200016743895,0.710755058674038,0.347225205077163,0.3519732298526571,0.3512662415323945,0.624066426500307,0.621526556454449,0.628952916373858,0.624066426500307,0.621526556454449,0.628952916373858,0.598171464566407,0.616052347369465,0.566383511162531,0.624066426500307,0.621526556454449,0.628952916373858
2,Nearest_Centroid,0.660091380370793,0.663032008441786,0.665495432185523,0.735980259957445,0.73409498524151,0.739373782333573,0.364259889091892,0.372972671218218,0.3751173421043169,0.660091380370793,0.663032008441786,0.665495432185523,0.660091380370793,0.663032008441786,0.665495432185523,0.598037156217076,0.633554579870095,0.602643698847323,0.660091380370793,0.663032008441786,0.665495432185523
3,Nearest_Centroid,0.773086723486512,0.758353851565247,0.761419536191145,0.820498204144297,0.80726396004471,0.811931490671866,0.4252983942277314,0.412113283953907,0.409228964384672,0.773086723486512,0.75835385156524,0.761419536191145,0.773086723486512,0.758353851565247,0.761419536191145,0.739304795650118,0.484648695990657,0.4869978146291296,0.773086723486512,0.758353851565247,0.761419536191145
4,Nearest_Centroid,0.755601440998154,0.753077734787196,0.748418833450456,0.81207521443425,0.80774322758896,0.805750870256687,0.4304278890405579,0.4297049190106587,0.422886906136752,0.755601440998154,0.753077734787196,0.748418833450456,0.755601440998154,0.753077734787196,0.748418833450456,0.784056690879009,0.666771136247414,0.62334353173072,0.755601440998154,0.753077734787196,0.748418833450456
5,Nearest_Centroid,0.751076355329057,0.74815335912768,0.74525650035137,0.80930043916779,0.804693921267369,0.803786681546965,0.4286652275005951,0.4275494140457536,0.422254182190079,0.751076355329057,0.74815335912768,0.74525650035137,0.751076355329057,0.74815335912768,0.74525650035137,0.78194274596609,0.6638588677978,0.6221865706817,0.751076355329057,0.74815335912768,0.74525650035137
6,Nearest_Centroid,0.742509445567173,0.746394653534998,0.737174982431482,0.806413724014182,0.806380059860112,0.802172927116418,0.4314677892088269,0.435068583043139,0.4305963070796605,0.742509445567173,0.746394653534998,0.737174982431482,0.742509445567173,0.746394653534998,0.737174982431482,0.749158900317809,0.509822048710492,0.62163945665681,0.742509445567173,0.746394653534998,0.737174982431482
7,Nearest_Centroid,0.736798172392584,0.739008090045726,0.734012649332396,0.802719184636784,0.8016282153956,0.800190205482837,0.4296819713685735,0.4329688125070007,0.429407127004775,0.736798172392584,0.739008090045726,0.734012649332396,0.736798172392584,0.739008090045726,0.734012649332396,0.74676565701344,0.506001515047435,0.61927771350216,0.736798172392584,0.739008090045726,0.734012649332396
8,K_Medoids,0.3905632194007556,0.393950052761167,0.388264230498945,0.522352745092211,0.51954562338349,0.519951734653047,0.2329911175615859,0.2414958010924975,0.230815073377927,0.3905632194007556,0.393950052761167,0.388264230498945,0.3905632194007556,0.393950052761167,0.388264230498945,0.299933629000805,0.252704760378265,0.344595106483266,0.3905632194007556,0.393950052761167,0.388264230498945
9,K_Medoids,0.3015112907477374,0.311994372142103,0.302178496134926,0.410933300877326,0.420006354252981,0.40877878762507,0.1895235701285441,0.1981389348327087,0.1920423294442128,0.3015112907477374,0.311994372142103,0.302178496134926,0.3015112907477374,0.311994372142103,0.302178496134926,0.2862810920773603,0.4098284409131,0.252718344260187,0.3015112907477374,0.311994372142103,0.302178496134926
10,K_Medoids,0.370749494771988,0.381990854730918,0.371398453970484,0.4973847573797588,0.505666366822111,0.4996959205148339,0.2388933009662707,0.249230244039709,0.2399358776279626,0.370749494771988,0.381990854730918,0.371398453970484,0.370749494771988,0.381990854730918,0.371398453970484,0.3583553302614836,0.44222355154595,0.265995115053348,0.370749494771988,0.381990854730918,0.371398453970484
11,K_Medoids,0.0861962920657235,0.0956735842419978,0.0878425860857343,0.01368040163670519,0.0167083241822301,0.01418646416113281,0.0529040608315806,0.0582129481005885,0.05383290267011197,0.0861962920657235,0.0956735842419978,0.0878425860857343,0.0861962920657235,0.0956735842419978,0.0878425860857343,0.333333333333333,0.333333333333333,0.333333333333333,0.0861962920657235,0.0956735842419978,0.0878425860857343
12,K_Medoids,0.3164484667428169,0.3130495954977136,0.296556570625439,0.4478218234625208,0.4411428644209434,0.4287609568769472,0.1829811784878416,0.186754278755031,0.1723110334780354,0.3164484667428169,0.3130495954977136,0.296556570625439,0.3164484667428169,0.3130495954977136,0.296556570625439,0.257138927630652,0.3389947259557774,0.1494598277413549,0.3164484667428169,0.3130495954977136,0.296556570625439
13,K_Medoids,0.1644846674281697,0.16918747801618,0.1549543218552354,0.2145918240638594,0.2165369089180893,0.2050484022410354,0.1238708088379742,0.1288116142827799,0.116789993394704,0.1644846674281697,0.16918747801618,0.1549543218552354,0.1644846674281697,0.1691874780161801,0.1549543218552354,0.312209199833813,0.400978579442676,0.216927111453914,0.1644846674281697,0.16918747801618,0.1549543218552354
14,K_Medoids,0.42751076355329,0.41751670770313,0.4205903021784961,0.551241403933506,0.53815314543458,0.54469201486806,0.249236585373449,0.242320259831345,0.246283093557884,0.4275107635532906,0.41751670770313,0.4205903021784961,0.42751076355329,0.41751670770313,0.4205903021784961,0.398545772489719,0.2351004434471336,0.2454392595449286,0.42751076355329,0.41751670770313,0.4205903021784961
15,K_Medoids,0.2389069501801247,0.241646148434752,0.244905130007027,0.352242068174256,0.350700849475718,0.3558893798326917,0.1923619902810731,0.2001079219653704,0.1984351742911194,0.2389069501801247,0.241646148434752,0.244905130007027,0.2389069501801247,0.241646148434752,0.244905130007027,0.4071404676676131,0.37292062601607,0.430838753910099,0.2389069501801247,0.241646148434752,0.244905130007027
16,Perceptron,0.913232580616817,0.905029897995075,0.913211524947294,0.874435110176054,0.861933428237724,0.874433292012703,0.3300430793974506,0.328675572305751,0.336261304017466,0.913232580616817,0.905029897995075,0.913211524947294,0.913232580616817,0.905029897995075,0.913211524947294,0.339016390836814,0.339331032140376,0.342538115439002,0.913232580616817,0.905029897995075,0.913211524947294
17,Perceptron,0.912837184781653,0.903622933520928,0.911103302881236,0.871241664005199,0.8578741005969,0.868722509421234,0.3181442351860358,0.3164572554816457,0.3178280321137464,0.912837184781653,0.903622933520928,0.911103302881236,0.912837184781653,0.903622933520928,0.911103302881236,0.333333333333333,0.333333333333333,0.333333333333333,0.912837184781653,0.903622933520928,0.911103302881236
18,Perceptron,0.912617520428784,0.903271192402391,0.911103302881236,0.87113204729386,0.857698648413137,0.868722509421234,0.318104207342751,0.3163925337275919,0.3178280321137464,0.912617520428784,0.903271192402391,0.911103302881236,0.912617520428784,0.903271192402391,0.911103302881236,0.3332531202874835,0.3332035811599844,0.333333333333333,0.912617520428784,0.903271192402391,0.911103302881236
19,Perceptron,0.926017045953782,0.906085121350685,0.911454673225579,0.921181801428625,0.900657208343371,0.906291394390694,0.49568702415813,0.4662619240804018,0.462589357680994,0.926017045953782,0.906085121350685,0.911454673225579,0.926017045953782,0.906085121350685,0.911454673225579,0.4814403513892475,0.449294090933376,0.4443018382825556,0.926017045953782,0.906085121350685,0.911454673225579
20,Perceptron,0.916922941745013,0.907492085824832,0.916725228390723,0.88222504263617,0.868841775347091,0.88561380788291,0.354202969688991,0.3493789905429543,0.373489950611414,0.916922941745013,0.907492085824832,0.916725228390723,0.916922941745013,0.907492085824832,0.916725228390723,0.351902874217407,0.3501009395583846,0.3631001414063504,0.916922941745013,0.907492085824832,0.916725228390723
21,Perceptron,0.922150953343291,0.912416461484347,0.92234715390021,0.89834454741341,0.885869735265621,0.901400365328368,0.407791556362481,0.4024201542311216,0.42449902205357,0.922150953343291,0.912416461484347,0.92234715390021,0.922150953343291,0.912416461484347,0.92234715390021,0.3850439121045558,0.382598134621696,0.3976860779020439,0.922150953343291,0.912416461484347,0.92234715390021
22,Perceptron,0.928037958000175,0.921561730566303,0.924455375966268,0.92159641995461,0.914665350707337,0.920375849357491,0.4906213132502628,0.49194636422706,0.496102762468763,0.928037958000175,0.921561730566303,0.924455375966268,0.928037958000175,0.921561730566303,0.924455375966268,0.46827365531782,0.4703435188789411,0.480382568453528,0.928037958000175,0.921561730566303,0.924455375966268
23,Perceptron,0.892100869870837,0.879352796341892,0.890372452565003,0.902202706068887,0.889465908697466,0.901837113761219,0.539364776228624,0.476244358233176,0.49070403753349,0.892100869870837,0.879352796341892,0.890372452565003,0.892100869870837,0.879352796341892,0.890372452565003,0.598369216372909,0.50736868316809,0.535380897287569,0.892100869870837,0.879352796341892,0.890372452565003
24,Linear_Discriminant_Analysis,0.907916703277392,0.89869855786141,0.908292340126493,0.87403885727097,0.862484546272749,0.872009118335984,0.364590386195501,0.3403096584957,0.3862256702976924,0.907916703277392,0.89869855786141,0.908292340126493,0.907916703277392,0.89869855786141,0.908292340126493,0.4172143074669653,0.343569921156473,0.45172095813515,0.907916703277392,0.89869855786141,0.908292340126493
25,Linear_Discriminant_Analysis,0.912661453299358,0.907140344706296,0.9100491918482,0.893478194876218,0.888762672842226,0.88872019435775,0.501047264503007,0.4217226996003093,0.5623809652351,0.912661453299358,0.907140344706296,0.9100491918482,0.912661453299358,0.907140344706296,0.9100491918482,0.493065690341213,0.40037513643059,0.4909167416548827,0.912661453299358,0.907140344706296,0.9100491918482
26,Linear_Discriminant_Analysis,0.912793251911079,0.9110094970102,0.906535488404778,0.894806894575631,0.893469526244,0.88702633937301,0.53175671276294,0.432306891863515,0.507303780581361,0.912793251911079,0.9110094970102,0.906535488404778,0.912793251911079,0.9110094970102,0.906535488404778,0.512403296226782,0.408376838473809,0.4920407935895787,0.912793251911079,0.9110094970102,0.906535488404778
27,Linear_Discriminant_Analysis,0.924962657060012,0.909602532536053,0.909346451159522,0.92406939473245,0.909184712194452,0.90964873147793,0.552258694826376,0.4914723089687864,0.482752589380446,0.924962657060012,0.909602532536053,0.909346451159522,0.924962657060012,0.909602532536053,0.909346451159522,0.686220363866356,0.474697849166914,0.4724453014526288,0.924962657060012,0.909602532536053,0.909346451159522
28,Linear_Discriminant_Analysis,0.925314120024602,0.917692578262398,0.918833450456781,0.920955651508091,0.911987225217264,0.91424970267889,0.652234783737658,0.4889047597791962,0.565245724458007,0.925314120024602,0.917692578262398,0.918833450456781,0.925314120024602,0.917692578262398,0.918833450456781,0.657520399201128,0.471107721017562,0.577260487637656,0.925314120024602,0.917692578262398,0.918833450456781
29,Linear_Discriminant_Analysis,0.922941745013619,0.913823425958494,0.918833450456781,0.91778388483019,0.907864577821562,0.913427685676479,0.59769348155178,0.48040826939404,0.479635778330268,0.922941745013619,0.913823425958494,0.918833450456781,0.922941745013619,0.913823425958494,0.918833450456781,0.602939669647487,0.462010280951617,0.463868363542871,0.922941745013619,0.913823425958494,0.918833450456781
30,Linear_Discriminant_Analysis,0.932958439504437,0.925782623988744,0.931482782853127,0.93091555044396,0.922452503904896,0.927858656079817,0.73489134658205,0.513489338046069,0.513281075781864,0.932958439504437,0.925782623988744,0.931482782853127,0.932958439504437,0.925782623988744,0.931482782853127,0.734180861209184,0.500389733550095,0.4986157603805116,0.932958439504437,0.925782623988744,0.931482782853127
31,Linear_Discriminant_Analysis,0.928521219576487,0.920506507210692,0.927266338721011,0.925948185849523,0.916077698161091,0.923979181692151,0.634545929305227,0.4991628701354972,0.505815253420622,0.928521219576487,0.920506507210692,0.927266338721011,0.928521219576487,0.920506507210692,0.927266338721011,0.631439634667731,0.484198856654378,0.4922540172258645,0.928521219576487,0.920506507210692,0.927266338721011
32,Random_Forests,0.996177840260082,0.91206472036581,0.917779339423752,0.996037721830412,0.881664561013637,0.890244400790447,0.853141245725827,0.387878715993152,0.3896544370766778,0.996177840260082,0.91206472036581,0.917779339423752,0.996177840260082,0.91206472036581,0.917779339423752,0.791842766302785,0.3726067402437814,0.3731240519346959,0.996177840260082,0.91206472036581,0.917779339423752
33,Random_Forests,0.997188296283279,0.91593387266971,0.916725228390723,0.997166919462572,0.88752809634726,0.887165613308641,0.951707935726863,0.402611511677958,0.3795305402132019,0.997188296283279,0.91593387266971,0.916725228390723,0.997188296283279,0.91593387266971,0.916725228390723,0.916834123943619,0.381704180309726,0.3667144877233577,0.997188296283279,0.91593387266971,0.916725228390723
34,Random_Forests,0.997100430542131,0.915230390432641,0.917779339423752,0.9970862172253,0.887882253432088,0.889312680565315,0.951552519423291,0.4050358733112228,0.3860185185185185,0.997100430542131,0.915230390432641,0.917779339423752,0.997100430542131,0.915230390432641,0.917779339423752,0.918494411342792,0.383636152008487,0.3707144877233577,0.997100430542131,0.915230390432641,0.917779339423752
35,Random_Forests,0.986908004569018,0.91206472036581,0.915319747013352,0.986126176432533,0.879257101560963,0.88419967736038,0.69444673251273,0.379247374942933,0.3704855058301535,0.986908004569018,0.91206472036581,0.915319747013352,0.986908004569018,0.91206472036581,0.915319747013352,0.649892832070346,0.367128050130133,0.3613811543900244,0.986908004569018,0.91206472036581,0.915319747013352
36,Random_Forests,0.996221773130656,0.916989096025325,0.923049894588896,0.996131264671,0.892791043413588,0.901110344508956,0.894702396642355,0.4198142607828471,0.422650880322504,0.996221773130656,0.916989096025325,0.923049894588896,0.996221773130656,0.916989096025325,0.923049894588896,0.836188262146027,0.394146555079797,0.3955336161460341,0.996221773130656,0.916989096025325,0.923049894588896
37,Random_Forests,0.996485370354098,0.916989096025325,0.923401264933239,0.996443351709336,0.892018076960921,0.90137412659332,0.950132634804854,0.417028352573222,0.4230473014311592,0.996485370354098,0.916989096025325,0.923401264933239,0.996485370354098,0.916989096025325,0.923401264933239,0.911654176400498,0.391955079034338,0.395662167373698,0.996485370354098,0.916989096025325,0.923401264933239
38,Random_Forests,0.98914858096828,0.918396060499472,0.927969079409697,0.988724768450807,0.8964252369056,0.910007909217749,0.821477846071353,0.43059938161045,0.4486357356578602,0.98914858096828,0.918396060499472,0.927969079409697,0.98914858096828,0.918396060499472,0.927969079409697,0.748908739086688,0.402335729932299,0.4154050649183,0.98914858096828,0.918396060499472,0.927969079409697
39,Random_Forests,0.994112995343115,0.914878649314104,0.924455375966268,0.993919437013074,0.888048847333866,0.902827401356834,0.848543514742536,0.40621252474178,0.42684256623256,0.994112995343115,0.914878649314104,0.924455375966268,0.994112995343115,0.914878649314104,0.924455375966268,0.78262690058423,0.384602137857867,0.398457385268029,0.994112995343115,0.914878649314104,0.924455375966268
40,Decision_Trees,0.9131447148756,0.903622933520928,0.911103302881236,0.871942344059552,0.8578741005969,0.868722509421234,0.421777306270407,0.3164572554816457,0.3178280321137464,0.9131447148756,0.903622933520928,0.911103302881236,0.9131447148756,0.903622933520928,0.911103302881236,0.3944490779353164,0.333333333333333,0.333333333333333,0.9131447148756,0.903622933520928,0.911103302881236
41,Decision_Trees,0.913012916263948,0.903271192402391,0.910751932536893,0.871641498471466,0.857698648413137,0.868547172147173,0.398513081871289,0.3163925337275919,0.317763883780801,0.913012916263948,0.903271192402391,0.910751932536893,0.913012916263948,0.903271192402391,0.910751932536893,0.378957773453186,0.3332035811599844,0.333204782105669,0.913012916263948,0.903271192402391,0.910751932536893
42,Decision_Trees,0.9131447148756,0.903622933520928,0.910751932536893,0.872112105634114,0.8578741005969,0.868547172147173,0.415133173209275,0.3164572554816457,0.317763883780801,0.9131447148756,0.903622933520928,0.910751932536893,0.9131447148756,0.903622933520928,0.910751932536893,0.394756782047591,0.333333333333333,0.333204782105669,0.9131447148756,0.903622933520928,0.910751932536893
43,Decision_Trees,0.915033828310341,0.903622933520928,0.906535488404778,0.881863517822659,0.867672892183948,0.86896527204498,0.3561849382060177,0.351444596621665,0.3268082293226033,0.915033828310341,0.903622933520928,0.906535488404778,0.915033828310341,0.903622933520928,0.906535488404778,0.352905414640612,0.350865141697005,0.336481295796374,0.915033828310341,0.903622933520928,0.906535488404778
44,Decision_Trees,0.918021263509357,0.904678156876538,0.91391426563598,0.889088083204369,0.871478917903011,0.881225541513117,0.480827914027428,0.3633729754852361,0.3614060885832084,0.918021263509357,0.904678156876538,0.91391426563598,0.918021263509357,0.904678156876538,0.91391426563598,0.4265386626122796,0.3578288263534296,0.356047821056691,0.918021263509357,0.904678156876538,0.91391426563598
45,Decision_Trees,0.926632106141815,0.91206472036581,0.91391426563598,0.908784386575392,0.889887141027973,0.895387198470056,0.442084966811862,0.4175102376838631,0.416891465616638,0.926632106141815,0.91206472036581,0.91391426563598,0.926632106141815,0.91206472036581,0.91391426563598,0.411296587221899,0.39452150069837,0.3958056305437716,0.926632106141815,0.91206472036581,0.91391426563598
46,Decision_Trees,0.920613302873209,0.907492085824832,0.920590302178496,0.89693809395321,0.881173680709686,0.898059964729724,0.405902930282648,0.393627877072002,0.415167081875348,0.920613302873209,0.907492085824832,0.92059030217849,0.920613302873209,0.907492085824832,0.920590302178496,0.3843285687274698,0.3774943901266228,0.391019411235377,0.920613302873209,0.907492085824832,0.920590302178496
47,Decision_Trees,0.921799490378701,0.909602532536053,0.91988756148981,0.90762592912614,0.892721337308921,0.906336052066473,0.4465654215191743,0.431978884220048,0.4491289198606271,0.921799490378701,0.909602532536053,0.91988756148981,0.921799490378701,0.909602532536053,0.91988756148981,0.419993840030558,0.408953567803143,0.423291425633114,0.921799490378701,0.909602532536053,0.91988756148981
48,Naive_Bayes,0.912134258852473,0.903271192402391,0.9100491918482,0.871082521122444,0.857857187904526,0.868196304070052,0.3874570380924657,0.316451016635859,0.317635516311013,0.912134258852473,0.903271192402391,0.9100491918482,0.912134258852473,0.903271192402391,0.9100491918482,0.4087540142983399,0.3332035811599844,0.3329476796503406,0.912134258852473,0.903271192402391,0.9100491918482
49,Naive_Bayes,0.913056849134522,0.903622933520928,0.911103302881236,0.871766008192413,0.8578741005969,0.868722509421234,0.3747541413502029,0.3164572554816457,0.3178280321137464,0.913056849134522,0.903622933520928,0.911103302881236,0.913056849134522,0.903622933520928,0.911103302881236,0.3641460476322861,0.333333333333333,0.333333333333333,0.913056849134522,0.903622933520928,0.911103302881236
50,Naive_Bayes,0.460855812318776,0.4628913119943721,0.463106113843991,0.562274768638218,0.55875867534776,0.561450389326957,0.277094245259911,0.2816934594824749,0.2830932831538089,0.460855812318776,0.4628913119943721,0.463106113843991,0.460855812318776,0.4628913119943721,0.463106113843991,0.527226029320252,0.565204283348216,0.535826884346745,0.460855812318776,0.4628913119943721,0.463106113843991
51,Naive_Bayes,0.900140585185836,0.890608512135068,0.895291637385804,0.867092404664967,0.856504938453343,0.86492366761425,0.3617468326523846,0.33049076430656,0.3299750776213747,0.900140585185836,0.890608512135068,0.895291637385804,0.900140585185836,0.890608512135068,0.895291637385804,0.619963446935076,0.3362026690785306,0.334777220722457,0.900140585185836,0.890608512135068,0.895291637385804
52,Naive_Bayes,0.83213250153765,0.831516004220893,0.827125790583274,0.861164225844049,0.857070353307705,0.857186796780959,0.545169631464719,0.4512908596627007,0.4857824950965466,0.83213250153765,0.831516004220893,0.827125790583274,0.83213250153765,0.831516004220893,0.827125790583274,0.78840558042316,0.522594528274525,0.641295967776492,0.83213250153765,0.831516004220893,0.827125790583274
53,Naive_Bayes,0.920481504261488,0.909250791417516,0.921644413211524,0.898095042813377,0.885225036092576,0.902128174951121,0.4107649305788159,0.405338997168082,0.42922385855084,0.920481504261488,0.909250791417516,0.92164441321152,0.920481504261488,0.909250791417516,0.921644413211524,0.388126742303398,0.385813317152474,0.4022481038693919,0.920481504261488,0.909250791417516,0.921644413211524
54,Naive_Bayes,0.827124154292241,0.824481181850158,0.829234012649332,0.859742405140967,0.855707263131498,0.860991471091162,0.4867801921079603,0.4596776282115575,0.4572010258524528,0.827124154292241,0.824481181850158,0.829234012649332,0.827124154292241,0.824481181850158,0.829234012649332,0.826694199655279,0.5408185072394,0.543132536315721,0.827124154292241,0.824481181850158,0.829234012649332
55,Naive_Bayes,0.923688603813373,0.911361238128737,0.925158116654954,0.902079369802026,0.88750934834045,0.906833147945327,0.420735674412249,0.4100826516682296,0.4412967141088059,0.923688603813373,0.911361238128737,0.925158116654954,0.923688603813373,0.911361238128737,0.925158116654954,0.394528822681482,0.3887833062380265,0.410762308780048,0.923688603813373,0.911361238128737,0.925158116654954
56,XGBoost,0.915429224145505,0.905029897995075,0.91391426563598,0.878203649350452,0.863208266816693,0.876677406691981,0.442406355235418,0.333221300577756,0.3437304102426328,0.915429224145505,0.905029897995075,0.91391426563598,0.915429224145505,0.905029897995075,0.91391426563598,0.404822121092682,0.341522508185835,0.3464095642113382,0.915429224145505,0.905029897995075,0.91391426563598
57,XGBoost,0.920481504261488,0.90995427365459,0.919184820801124,0.890539883873172,0.87636104921671,0.888239158466389,0.539818863065398,0.372296680362616,0.37933575430273,0.920481504261488,0.90995427365459,0.919184820801124,0.920481504261488,0.90995427365459,0.919184820801124,0.4720742060721449,0.3630623230218517,0.3664095642113382,0.920481504261488,0.90995427365459,0.919184820801124
58,XGBoost,0.923820402425094,0.91171297924727,0.91988756148981,0.897411261443493,0.880483327314729,0.892543304536443,0.561012768880882,0.384213952139323,0.3948554192783632,0.923820402425094,0.91171297924727,0.91988756148981,0.923820402425094,0.91171297924727,0.91988756148981,0.485140052691653,0.370285512024973,0.376304923512019,0.923820402425094,0.91171297924727,0.91988756148981
